frame,Unnamed: 0,objIndex,x,y,pnX,pnY,frame,particle,mass
0,2,2.0,343.48997493734333,251.61779448621556,,,0,0,798.0
0,3,3.0,336.94666666666666,335.8060606060606,,,0,1,825.0
1,6,6.0,342.515923566879,247.78598726114652,,,1,0,785.0
1,7,7.0,336.3689440993789,340.3217391304348,,,1,1,805.0
2,10,10.0,341.29064039408865,243.97906403940883,,,2,0,812.0
2,11,11.0,335.73147023086267,344.9185905224787,,,2,1,823.0
3,14,14.0,340.4776674937965,240.28163771712158,,,3,0,806.0
3,15,15.0,335.0024509803921,349.4816176470588,,,3,1,816.0
4,18,18.0,339.7012658227848,236.70759493670886,,,4,0,790.0
4,19,19.0,334.23020706455543,354.0,,,4,1,821.0
5,22,22.0,338.8690773067332,232.73441396508727,,,5,0,802.0
5,23,23.0,333.3169533169533,358.56633906633914,,,5,1,814.0
6,27,27.0,337.55849056603773,228.62767295597484,,,6,0,795.0
6,28,28.0,332.3353884093712,363.4512946979039,,,6,1,811.0
7,32,32.0,331.45700245700243,368.07493857493864,,,7,1,814.0
7,31,31.0,336.425902864259,225.0909090909091,,,7,0,803.0
8,35,35.0,334.66207759699626,221.21276595744683,,,8,0,799.0
8,36,36.0,330.1605392156863,372.6188725490196,,,8,1,816.0
9,39,39.0,332.991239048811,217.62953692115144,,,9,0,799.0
9,40,40.0,329.16808769792937,377.0292326431181,,,9,1,821.0
10,43,43.0,331.43358395989975,214.20927318295742,,,10,0,798.0
10,44,44.0,328.14565483476133,380.65605875153,,,10,1,817.0
11,48,48.0,326.99149453219934,384.98906439854187,,,11,1,823.0
11,47,47.0,329.6297709923664,210.6882951653944,,,11,0,786.0
12,51,51.0,328.12833545108003,207.55146124523503,,,12,0,787.0
12,52,52.0,325.8733087330874,389.3407134071341,,,12,1,813.0
13,56,56.0,326.54602774274906,203.58511979823456,,,13,0,793.0
13,57,57.0,324.0328068043742,394.08991494532205,,,13,1,823.0
14,61,61.0,322.8130381303813,398.42927429274295,,,14,1,813.0
14,60,60.0,325.26474278544543,200.1969887076537,,,14,0,797.0
15,65,65.0,321.1549815498155,402.7011070110701,,,15,1,813.0
15,64,64.0,323.78305519897305,196.53658536585363,,,15,0,779.0
16,68,68.0,322.2616352201258,192.63773584905658,,,16,0,795.0
16,69,69.0,319.4134969325153,407.3472392638037,,,16,1,815.0
17,72,72.0,320.6166666666667,189.3423076923077,,,17,0,780.0
17,73,73.0,317.9242053789731,411.59902200489,,,17,1,818.0
18,76,76.0,318.8665803108808,186.00259067357518,,,18,0,772.0
18,77,77.0,316.2647783251232,415.6773399014778,,,18,1,812.0
19,80,80.0,316.8849104859335,182.37723785166241,,,19,0,782.0
19,81,81.0,314.42475728155335,420.115291262136,,,19,1,824.0
20,84,84.0,314.91354838709685,179.40129032258065,,,20,0,775.0
20,85,85.0,313.06601466992663,424.00977995110026,,,20,1,818.0
21,88,88.0,312.7432258064516,175.9316129032258,,,21,0,775.0
21,89,89.0,311.23710073710066,428.4287469287469,,,21,1,814.0
22,92,92.0,310.66279069767444,172.93669250645993,,,22,0,774.0
22,93,93.0,309.35467980295573,432.46798029556646,,,22,1,812.0
23,97,97.0,307.63035495716036,436.5128518971848,,,23,1,817.0
23,96,96.0,308.5259067357513,169.94689119170985,,,23,0,772.0
24,100,100.0,305.99475753604196,166.99868938401048,,,24,0,763.0
24,101,101.0,305.920987654321,440.59876543209884,,,24,1,810.0
25,104,104.0,303.45677419354837,163.97677419354838,,,25,0,775.0
25,105,105.0,304.0233128834356,444.56073619631894,,,25,1,815.0
26,109,109.0,300.68965517241384,161.26692209450832,,,26,0,783.0
26,110,110.0,302.12546125461256,448.4907749077491,,,26,1,813.0
27,114,114.0,297.926735218509,159.19922879177378,,,27,0,778.0
